model,task,variant,condition,n,parse_rate,legal_rate,compliance_of_legal,compliance_strict,undefined
smollm2-1.7b,cap-legal-8x8,grid,win,40,1.0,0.05,,0.0,2
smollm2-1.7b,cap-legal-8x8,fen,win,40,1.0,0.05,,0.0,2
smollm2-1.7b,mate1-lichess,grid,win,40,1.0,0.05,0.0,0.0,0
smollm2-1.7b,mate1-lichess,fen,win,40,1.0,0.05,0.0,0.0,0
smollm2-1.7b,mate2-lichess,grid,win,40,1.0,0.025,0.0,0.0,0
smollm2-1.7b,mate2-lichess,fen,win,40,1.0,0.025,0.0,0.0,0
smollm2-1.7b,bestmove-8x8,grid,win,40,1.0,0.05,0.0,0.0,0
smollm2-1.7b,bestmove-8x8,fen,win,40,1.0,0.05,0.0,0.0,0
smollm2-1.7b,sm-3x3-win,grid,win,40,1.0,0.2,0.125,0.025,0
smollm2-1.7b,sm-5x5-win,grid,win,40,1.0,0.075,1.0,0.075,0
smollm2-1.7b,sm-5x5-draw,grid,win,40,1.0,0.025,0.0,0.0,0
smollm2-1.7b,playout-5x5,grid,game,10,,0.0,0.0,,
smollm2-1.7b,ttt,grid,game,10,,0.5,0.0,,
smollm2-1.7b,c4,grid,game,10,,0.0,0.0,,
